v8-version,7,8,279,23,-node.39,0
code-creation,Builtin,3,6261,0x1374980,12,ArrayConcat
code-creation,Builtin,3,6283,0x13749a0,150,ArrayIsArray
code-creation,Builtin,3,6292,0x1374a40,12,ArrayPrototypeFill
code-creation,Builtin,3,6314,0x1374a60,3916,ArrayFrom
code-creation,Builtin,3,6323,0x13759c0,970,ArrayIncludesSmiOrObject
code-creation,Builtin,3,6328,0x1375da0,136,ArrayIncludesPackedDoubles
code-creation,Builtin,3,6349,0x1375e40,204,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,6358,0x1375f20,557,ArrayIncludes
code-creation,Builtin,3,6379,0x1376160,890,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,6388,0x13764e0,108,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,6410,0x1376560,108,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,6419,0x13765e0,565,ArrayIndexOf
code-creation,Builtin,3,6452,0x1376820,12,ArrayPop
code-creation,Builtin,3,6460,0x1376840,708,ArrayPrototypePop
code-creation,Builtin,3,6464,0x1376b20,12,ArrayPush
code-creation,Builtin,3,6485,0x1376b40,2742,ArrayPrototypePush
code-creation,Builtin,3,6494,0x1377600,12,ArrayShift
code-creation,Builtin,3,6516,0x1377620,12,ArrayUnshift
code-creation,Builtin,3,6524,0x1377640,1106,CloneFastJSArray
code-creation,Builtin,3,6528,0x1377aa0,2566,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,6550,0x13784c0,1146,ExtractFastJSArray
code-creation,Builtin,3,6558,0x1378940,299,ArrayPrototypeEntries
code-creation,Builtin,3,6580,0x1378a80,279,ArrayPrototypeKeys
code-creation,Builtin,3,6589,0x1378ba0,299,ArrayPrototypeValues
code-creation,Builtin,3,6611,0x1378ce0,4292,ArrayIteratorPrototypeNext
code-creation,Builtin,3,6620,0x1379dc0,3800,FlattenIntoArray
code-creation,Builtin,3,6625,0x137aca0,3764,FlatMapIntoArray
code-creation,Builtin,3,6646,0x137bb60,528,ArrayPrototypeFlat
code-creation,Builtin,3,6655,0x137bd80,576,ArrayPrototypeFlatMap
code-creation,Builtin,3,6676,0x137bfe0,12,ArrayBufferConstructor
code-creation,Builtin,3,6685,0x137c000,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,6745,0x137c020,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,6754,0x137c040,12,ArrayBufferIsView
code-creation,Builtin,3,6781,0x137c060,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,6790,0x137c080,628,AsyncFunctionEnter
code-creation,Builtin,3,6813,0x137c300,161,AsyncFunctionReject
code-creation,Builtin,3,6821,0x137c3c0,153,AsyncFunctionResolve
tick,0x7fdbf7227297,6827,0,0x0,6
tick,0x7fdbf7227297,6860,0,0x0,6
code-creation,Builtin,3,6879,0x137c460,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,6892,0x137c480,1298,AsyncFunctionAwaitCaught
code-creation,Builtin,3,6897,0x137c9a0,1298,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,6901,0x137cec0,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,6905,0x137cf80,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,6909,0x137d040,12,BigIntConstructor
code-creation,Builtin,3,6913,0x137d060,12,BigIntAsUintN
code-creation,Builtin,3,6917,0x137d080,12,BigIntAsIntN
