v8-version,7,8,279,23,-node.39,0
code-creation,Builtin,3,4430,0x1362c60,40,KeyedStoreIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,4471,0x1362ca0,40,KeyedStoreIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,4513,0x1362ce0,9184,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,4555,0x13650e0,18756,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4597,0x1369a40,9184,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,4625,0x136be40,12032,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,4634,0x136ed60,764,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,4638,0x136f060,328,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,4642,0x136f1c0,80,HasIndexedInterceptorIC
code-creation,Builtin,3,4651,0x136f220,36,HasIC_Slow
code-creation,Builtin,3,4655,0x136f260,181,EnqueueMicrotask
code-creation,Builtin,3,4659,0x136f320,8,RunMicrotasksTrampoline
code-creation,Builtin,3,4684,0x136f340,2012,RunMicrotasks
code-creation,Builtin,3,4692,0x136fb20,2182,HasProperty
code-creation,Builtin,3,4696,0x13703c0,1364,DeleteProperty
code-creation,Builtin,3,4733,0x1370920,1912,CopyDataProperties
code-creation,Builtin,3,4775,0x13710a0,8607,SetDataProperties
code-creation,Builtin,3,4816,0x1373240,36,Abort
code-creation,Builtin,3,4857,0x1373280,36,AbortCSAAssert
code-creation,Builtin,3,4903,0x13732c0,12,EmptyFunction
code-creation,Builtin,3,4931,0x13732e0,12,Illegal
code-creation,Builtin,3,4938,0x1373300,12,StrictPoisonPillThrower
code-creation,Builtin,3,4942,0x1373320,12,UnsupportedThrower
code-creation,Builtin,3,4985,0x1373340,65,ReturnReceiver
code-creation,Builtin,3,5026,0x13733a0,36,ArrayConstructor
code-creation,Builtin,3,5056,0x13733e0,413,ArrayConstructorImpl
code-creation,Builtin,3,5097,0x1373580,233,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,5140,0x1373680,233,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,5182,0x1373780,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,5225,0x1373860,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,5267,0x1373940,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,5296,0x1373a20,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,5304,0x1373b00,209,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,5309,0x1373be0,209,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,5318,0x1373cc0,313,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,5324,0x1373e00,533,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,5348,0x1374020,249,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,5391,0x1374120,413,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,5433,0x13742c0,249,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,5476,0x13743c0,413,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,5518,0x1374560,249,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
